French,English
histoire,history
chercher,search
police,police
pensais,thought
aide,help
mois,month
laisser,let
car,because
aucun,no
laisse,leash
eux,them
ville,city
parlé,speak
arrivé,come
devrait,should
vont,will
pendant,while
revoir,meet again
compris,understood
savais,knew
attention,Warning
donner,give
donné,given
train,train
corps,body
endroit,place
façon,way
dont,whose
trouve,find
perdu,lost
main,hand
première,first
pouvoir,power
vieux,old
tiens,here
tellement,so much
point,point
suite,after
venez,come
devant,in front of
vers,towards
minutes,minutes
demandé,request
belle,beautiful
droit,law
aimerais,would like to
mari,husband
cause,cause
enfin,finally
espère,hope
attendez,Wait
boulot,job
arrêter,Stop
terre,Earth
donne,given
loin,far
fin,end
croire,believe
gros,large
plutôt,rather
aura,will have
jouer,to play
bureau,office
